catalog_id,fid,original_validation,smiles,hasTertiaryAmine,nHBD,nHBA,cLogP,nHeteroAtoms,RingCount,nRotatableBonds,nAromaticBonds,nAcidicGroup,nBasicGroup,AtomicPolarizability,MolWt,TPSA,MaxTrainSimilarity,ClosestTrainSmiles,ClosestTrainIdentifier,FpClusterId,PhysChemClusterId
Z4225920167,,,C#CCCC1(CCNC(=O)C2=NN(c3cc(C)ccc3C)C(=O)CC2)N=N1,0,1.0,5.0,2.87,7.0,3.0,7.0,6.0,0.0,0.0,57.64,365.44,86.49,0.49,C#CCCC1(CCNC(=O)c2ncoc2-c2ccc(C)cc2)N=N1,C390,5.0,2.0
Z4225920708,,,C#CCCC1(CCNC(=O)c2cc(S(=O)(=O)N3CCCC3)ccc2C)N=N1,0,1.0,5.0,2.47,8.0,3.0,8.0,6.0,0.0,0.0,59.15,388.49,91.2,0.56,C#CCCC1(CCNC(=O)c2cccc(S(=O)(=O)N3CCNC(=O)C3)c2)N=N1,C084,5.0,7.0
Z4225920711,,,C#CCCC1(CCNC(=O)c2cc(S(=O)(=O)N(CC)CC)ccc2C)N=N1,0,1.0,5.0,2.72,8.0,2.0,10.0,6.0,0.0,0.0,60.48,390.51,91.2,0.60,C#CCCC1(CCNC(=O)c2cc(S(=O)(=O)CC)c[nH]c2=O)N=N1,C335,5.0,2.0
Z4225921356,,,C#CCCC1(CCNC(=O)C2CCCN(C(=O)c3ccc(Cl)cc3)C2)N=N1,0,1.0,4.0,3.27,7.0,3.0,7.0,6.0,0.0,0.0,58.72,386.88,74.13,0.55,C#CCCC1(CCNC(=O)C2CN(C(=O)Nc3cc(Cl)ccc3OC)C2)N=N1,C322,3.0,2.0
Z4225921402,,,C#CCCC1(CCNC(=O)C2CCN(C(=O)c3ccc(F)cc3F)CC2)N=N1,0,1.0,4.0,2.90,8.0,3.0,7.0,6.0,0.0,0.0,56.99,388.42,74.13,0.53,C#CCCC1(CCNC(=O)C2CN(CC(F)F)C2)N=N1,C152,3.0,2.0
Z4225921404,,,C#CCCC1(CCNC(=O)CCNC(=O)c2ccc(F)cc2F)N=N1,0,2.0,4.0,2.17,8.0,2.0,9.0,6.0,0.0,0.0,49.04,348.35,82.92,0.60,C#CCCC1(CCNC(=O)CNC(=O)c2cc(F)cc(F)c2)N=N1,C065,5.0,13.0
Z4225921456,,,C#CCCC1(CCNC(=O)c2ccc(CN3CCCC3=O)cc2)N=N1,0,1.0,4.0,2.50,6.0,3.0,8.0,6.0,0.0,0.0,54.11,338.41,74.13,0.53,C#CCCC1(CCNC(=O)c2ccc(-c3noc(=O)[nH]3)cc2)N=N1,C406,12.0,4.0
Z4225921544,,,C#CCCC1(CCNC(=O)COCc2nc3ccccc3s2)N=N1,0,1.0,6.0,2.89,7.0,3.0,9.0,10.0,0.0,0.0,50.83,342.42,75.94,0.63,C#CCCC1(CCNC(=O)CCc2nc3cc(Cl)ccc3s2)N=N1,C161,8.0,6.0
Z4225921813,,,C#CCCC1(CCNC(=O)Cn2c(=O)ccn(Cc3ccccc3)c2=O)N=N1,0,1.0,7.0,1.14,8.0,3.0,9.0,12.0,0.0,0.0,57.11,379.42,97.82,0.53,C#CCCC1(CCNC(=O)C2CCN(Cc3ccccc3)CC2(F)F)N=N1,C029,8.0,10.0
Z4225922030,,,C#CCCC1(CCNC(=O)CCc2nc3ccccc3c(=O)n2C)N=N1,0,1.0,6.0,1.95,7.0,3.0,8.0,11.0,0.0,0.0,54.55,351.41,88.71,0.57,C#CCCC1(CCNC(=O)c2ccc(-n3cnc4ccccc4c3=O)cc2)N=N1,C166,8.0,6.0
