catalog_id,smiles
Z2866904024,C#CCCC1(CCC(=O)N2CCc3c(cccc3OC)C2)N=N1
Z2866904026,C#CCCC1(CCC(=O)NC2(c3ccc(OC)cc3)CC2)N=N1
Z2866904028,C#CCCC1(CCC(=O)NCC2OCCc3ccccc32)N=N1
Z2866904032,C#CCCC1(CCC(=O)NC2C3Cc4cc(F)ccc4C32)N=N1
Z2866904034,C#CCCC1(CCC(=O)NCC2(c3ccc(F)cc3Cl)CC2)N=N1
Z2866904037,C#CCCC1(CCC(=O)NC[C@]23OCCC[C@H]2C3(F)F)N=N1
Z2866904042,C#CCCC1(CCC(=O)Nc2c3c(nn2-c2ccccc2)CCC3)N=N1
Z2866904044,C#CCCC1(CCC(=O)Nc2cc(C3CC3)nn2-c2ccccc2)N=N1
Z2866904045,C#CCCC1(CCC(=O)N2CCc3c(ncn3-c3ccccc3)C2)N=N1
Z2866904049,C#CCCC1(CCC(=O)N2CC(n3cccn3)Cc3ccccc32)N=N1
Z2866904065,C#CCCC1(CCC(=O)Nc2c(-c3ccco3)nc3ccccn23)N=N1
Z2866904067,C#CCCC1(CCC(=O)N2CCCc3c(OC(F)F)cccc32)N=N1
Z2866904069,C#CCCC1(CCC(=O)N2CCC(N3CCC3)C2)N=N1
Z2866904072,C#CCCC1(CCC(=O)NC2CN3CCC2CC3)N=N1
Z2866904074,C#CCCC1(CCC(=O)NC23CCN(CC2)CC3)N=N1
Z2866904077,C#CCCC1(CCC(=O)N2CCC3(CN(C)C3)C2)N=N1
Z2866904080,C#CCCC1(CCC(=O)NCCc2nncn2C)N=N1
Z2866904082,C#CCCC1(CCC(=O)NCCn2cnnc2C)N=N1
Z2866904083,C#CCCC1(CCC(=O)NC2Cc3ccccc3NC2=O)N=N1
Z2866904085,C#CCCC1(CCC(=O)NCCc2noc3ccccc23)N=N1
Z2866904087,C#CCCC1(CCC(=O)Nc2nc3cccnc3n2CC)N=N1
Z2866904091,C#CCCC1(CCC(=O)NCC2CCN(C3CCOCC3)CC2)N=N1
Z2866904098,C#CCCC1(CCC(=O)NC(c2ccc(C)cc2)c2ccccn2)N=N1
Z2866904100,C#CCCC1(CCC(=O)N2CCC([C@@H]3OCC[C@H]3C(N)=O)CC2)N=N1
Z2866904107,C#CCCC1(CCC(=O)NCCc2cnn(C)c2)N=N1
Z2866904109,C#CCCC1(CCC(=O)NC2(c3cccc(C)c3)CCC2)N=N1
Z2866904116,C#CCCC1(CCC(=O)NC2CCN(c3ncccc3Cl)C2)N=N1
Z2866904122,C#CCCC1(CCC(=O)N2CC(CC)Oc3c(Cl)cccc32)N=N1
Z2866904125,C#CCCC1(CCC(=O)N2CCOC(c3cccc(Cl)c3)C2)N=N1
Z2866904129,C#CCCC1(CCC(=O)NCCc2cc3ccccc3o2)N=N1
Z2866904132,C#CCCC1(CCC(=O)N2CCOC(c3ccccc3Cl)C2)N=N1
Z2866904148,C#CCCC1(CCC(=O)N2CCN(C3CCNC(=O)CC3)CC2)N=N1
Z5209489064,C#CCCC1(CCC(=O)N2CCN(C(=O)C3CCCN3C)CC2)N=N1
Z2866904161,C#CCCC1(CCC(=O)N2CCCC(c3ccc(F)c(F)c3)C2)N=N1
Z2866904164,C#CCCC1(CCC(=O)NCCc2cc(F)cc3c2OCOC3)N=N1
Z2866904184,C#CCCC1(CCC(=O)N2CCCN(Cc3noc(C)n3)CC2)N=N1
